所属部門コード,所属部門名,社員コード,氏名,WBS仮コード,WBSコード,WBS名称,プロダクトコード,プロダクト名,所属会社コード,所属会社名,会計年度,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
L001,経営企画部,00001,社員1,PJ3000000009.1.1,PJ3000000009.1.1,システム9構築案件,00000005,製品5,00000001,アルファ株式会社,2026,0.00,0.08,0.00,0.00,0.00,0.25,0.00,0.00,0.06,0.04,0.29,0.00
L010,研究開発部,00010,社員10,PJ3000000005.1.1,PJ3000000005.1.1,システム5構築案件,00000002,製品2,00000001,アルファ株式会社,2026,0.00,0.19,0.28,0.00,0.00,0.24,0.00,0.12,0.03,0.00,0.00,0.00
L006,インフラ部,00016,社員16,PJ3000000012.1.1,PJ3000000012.1.1,システム12構築案件,00000002,製品2,00000001,アルファ株式会社,2026,0.01,0.02,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L001,経営企画部,00001,社員1,PJ3000000013.1.1,PJ3000000013.1.1,システム13構築案件,00000004,製品4,00000001,アルファ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.28,0.00
L010,研究開発部,00020,社員20,PJ3000000012.1.1,PJ3000000012.1.1,システム12構築案件,00000004,製品4,00000002,ベータ株式会社,2026,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L002,営業部,00012,社員12,PJ3000000010.1.1,PJ3000000010.1.1,システム10構築案件,00000002,製品2,00000003,ガンマ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.17,0.16,0.14,0.01,0.00,0.00,0.00
L006,インフラ部,00006,社員6,PJ3000000014.1.1,PJ3000000014.1.1,システム14構築案件,,,00000003,ガンマ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
L008,人事部,00008,社員8,PJ3000000005.1.1,PJ3000000005.1.1,システム5構築案件,,,00000002,ベータ株式会社,2026,0.00,0.00,0.12,0.00,0.06,0.00,0.22,0.21,0.15,0.16,0.00,0.00
L004,開発二部,00014,社員14,PJ3000000013.1.1,PJ3000000013.1.1,システム13構築案件,00000005,製品5,00000002,ベータ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.00,0.00
L008,人事部,00008,社員8,PJ3000000001.1.1,PJ3000000001.1.1,システム1構築案件,00000002,製品2,,,2026,0.00,0.00,0.00,0.15,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00
L009,財務部,00019,社員19,PJ3000000013.1.1,PJ3000000013.1.1,システム13構築案件,00000001,製品1,00000001,アルファ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.00,0.00
L010,研究開発部,00010,社員10,PJ3000000015.1.1,PJ3000000015.1.1,システム15構築案件,00000002,製品2,00000001,アルファ株式会社,2026,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.29,0.00,0.00,0.00
L010,研究開発部,00020,社員20,PJ3000000009.1.1,PJ3000000009.1.1,システム9構築案件,,,00000002,ベータ株式会社,2026,0.00,0.02,0.07,0.00,0.19,0.00,0.00,0.22,0.10,0.01,0.20,0.00
L001,経営企画部,00011,社員11,PJ3000000013.1.1,PJ3000000013.1.1,システム13構築案件,00000001,製品1,00000002,ベータ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.00
L002,営業部,00012,社員12,PJ3000000015.1.1,PJ3000000015.1.1,システム15構築案件,00000003,製品3,00000003,ガンマ株式会社,2026,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L009,財務部,00009,社員9,PJ3000000006.1.1,PJ3000000006.1.1,システム6構築案件,,,,,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.08,0.00,0.00
L005,品質保証部,00005,社員5,PJ3000000014.1.1,PJ3000000014.1.1,システム14構築案件,,,00000002,ベータ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.00,0.00,0.00
L010,研究開発部,00010,社員10,PJ3000000010.1.1,PJ3000000010.1.1,システム10構築案件,00000001,製品1,00000001,アルファ株式会社,2026,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.27,0.00,0.03,0.00,0.00
L007,運用部,00007,社員7,PJ3000000004.1.1,PJ3000000004.1.1,システム4構築案件,00000002,製品2,,,2026,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.14,0.26,0.18,0.23,0.00
L010,研究開発部,00010,社員10,PJ3000000012.1.1,PJ3000000012.1.1,システム12構築案件,,,00000001,アルファ株式会社,2026,0.20,0.15,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
